OBJECTID_1,CSA2010,sclsw11,sclsw12,sclsw13,sclsw14,sclsw15,sclsw16,sclsw19,sclsw20,Shape__Area,Shape__Length
37,Morrell Park/Violetville,3.887689,3.896104,3.763441,5.3881279,4.8802947,8.7599545,5.92105263157894,3.59168241965973,67470845.7421875,44412.7455512172
38,Mount Washington/Coldspring,2.5423729,4.076087,1.186944,1.7902813,1.6627078,4.5092838,0.671140939597315,0.702576112412178,56943058.9259033,38539.7660137921
39,North Baltimore/Guilford/Homeland,2.5531915,2.37581,3.903346,2.6315789,1.5625,4.4368601,1.93740685543964,1.2012012012012,74923987.331665,42904.2220655201
40,Northwood,5.5461234,6.083178,7.156428,7.26979,5.0555556,5.7051282,3.42624854819976,4.21892816419612,52743271.4466553,38889.8927781349
41,Oldtown/Middle East,9.0721649,9.517426,9.338521,7.7134986,6.8398727,7.9061149,6.41848523748395,7.11841204654346,24585968.6329346,23866.3283754834
42,Orangeville/East Highlandtown,5.1457976,6.296603,4.668305,5.2569403,3.5986914,6.9264069,2.50231696014828,1.99818346957311,89894371.6797485,47825.8622911077
43,Patterson Park North & East,7.226792,7.995431,8.384774,6.5318163,6.2263357,6.4215686,3.6944270507201,3.69426751592356,14507643.1196289,21786.3746522289
44,Penn North/Reservoir Hill,8.4244373,11.24918,7.575758,8.973607,9.2387768,8.2223962,5.07117437722419,4.80072463768115,41059796.8271484,29078.8387462975
45,Pimlico/Arlington/Hilltop,7.2900955,8.801296,7.276862,8.973029,8.1725888,6.9370958,7.00557966522008,5.98520511096166,30400962.137207,24725.9335761882
46,Poppleton/The Terraces/Hollins Market,10.495963,11.09799,11.30012,9.6911608,10.847107,10.416667,4.53333333333333,4.97592295345104,9302012.75500488,12334.0275788672
47,Sandtown-Winchester/Harlem Park,10.617381,11.29542,10.96722,9.660483,10.007123,7.3846154,6.4333017975402,7.45637228979376,23672093.0319824,20987.1444438245
48,South Baltimore,2.9535865,1.244813,0,1.2269939,0.2849003,4.9618321,0.524934383202099,0.5,46353935.439209,68440.0250258035
49,Southeastern,6.2761506,6.18705,7.479224,6.9327731,8.0779944,8.7227414,5.06838294448913,4.06885758998435,111251477.670959,102291.480853694
50,Southern Park Heights,8.2089552,11.54856,9.776675,8.2627119,9.1148116,7.4505829,6.65650406504065,7.10121886592474,27876227.3728027,24052.2213294409
51,Southwest Baltimore,10.409889,11.52416,11.18999,11.202965,9.9221229,9.8186794,6.40070144673388,3.95095367847411,37766068.6594238,28355.5624262432
52,The Waverlies,8.2440231,9.090909,7.370337,8.3528493,6.1396777,7.1557971,4.82625482625482,3.41261633919338,20383750.6295166,18733.8272074469
53,Upton/Druid Heights,9.9891422,10.74292,10.16102,10.28169,8.5581395,9.5527333,7.42432895488292,7.80542986425339,16976621.6553345,19389.3077930782
54,Washington Village/Pigtown,7.6589595,9.103641,5.035971,6.9686411,9.0470446,7.8787879,5.61456752655538,4.25867507886435,39343261.6097412,36962.258768959
55,Westport/Mount Winans/Lakeland,7.8254327,7.450077,9.166041,8.2716049,8.4979054,7.2909221,6.05355064027939,3.89461626575028,45494092.673645,42573.1244628949
