OBJECTID,CSA2010,dirtyst10,dirtyst11,dirtyst12,dirtyst13,dirtyst14,dirtyst15,dirtyst16,dirtyst17,dirtyst18,dirtyst19,CSA2020,dirtyst20,Shape__Area,Shape__Length
24,Greenmount East,154.5694665,148.441627047015,183.040078201369,127.321603128055,125.488758553275,170.821114369501,176.075268817204,191.226783968719,95.9188660801564,135.2639296,Oliver/Johnson Square,161.035226455787,19072287.8240967,20797.4734578598
25,Hamilton,23.22719582,23.6886632825719,34.6869712351946,29.9184740809106,25.3807106598985,23.611752038148,13.0749115520689,15.7668051069066,8.30641439778496,21.76588217,Hamilton,18.4004519409249,45191100.5593872,27712.1110915054
26,Harbor East/Little Italy,35.87941557,39.2084335121139,21.2687257259109,23.1181801368596,24.4127982245238,33.8450157203625,27.7418161642316,44.2019604216756,22.3783983724801,41.98261513,Harbor East/Little Italy,54.903520986672,10215859.0836182,18552.4075815937
27,Harford/Echodale,11.40210226,18.1127145317418,24.8827127501633,15.915434408219,14.8464873210998,18.1127145317418,8.4921907476691,10.6300849219075,8.07648910267831,13.48061049,Hamilton Hills,11.9148936170213,65360039.1698608,40019.1854001996
28,Highlandtown,126.2068966,144.965517241379,89.2413793103448,87.7241379310345,116.965517241379,146.896551724138,160.689655172414,151.586206896552,108.965517241379,140,Highlandtown,99.3197278911565,11684191.1186523,14976.1238513698
29,Howard Park/West Arlington,28.6949324,26.7635427205003,34.1212176952083,21.3372574266532,22.2569667984917,25.751862411478,18.4861583739538,25.4759495999264,23.3606180446979,33.10953739,Howard Park/West Arlington,29.7251225229065,63262430.0730591,36034.4984469719
30,Inner Harbor/Federal Hill,53.00613497,51.2883435582822,37.1061843640607,39.2065344224037,40.9179307662388,39.7510696227149,34.7724620770128,34.8502528199144,22.2481524698561,36.79502139,Inner Harbor/Federal Hill,17.9846601428194,24995836.2615967,43415.0595478862
31,Lauraville,27.70308808,37.2362095657134,40.0879980444879,32.021510633097,27.3771693962356,38.0510062739347,24.2809419049947,28.9252831418561,13.9330237105842,17.11073087,Greater Lauraville,21.3705404450724,49665744.2354736,34419.676527973
32,Loch Raven,38.79563712,25.7331330416041,37.358761674613,21.6184442557638,22.4675070210959,29.5212592253935,18.8100058781268,26.0596956436549,14.4993795310561,25.14532036,Loch Raven,25.7043994068216,44147812.3265381,29314.3346718286
33,Madison/East End,611.8750803,267.703380028274,193.162832540805,94.3323480272459,129.674848991132,221.179796941267,237.63012466264,207.556869297006,159.234031615474,274.9003984,Madison/East End,340.718857705564,8897845.19189453,13120.1587193642
34,Medfield/Hampden/Woodberry/Remington,33.81642512,32.9537612146308,38.1297446514838,36.6919714745802,36.634460547504,43.2482171612606,28.3528870485392,34.1039797561537,26.9726247987118,36.23188406,Hampden/Remington,25.8839451869396,62441489.2398071,43152.625699222
35,Midtown,44.00798935,37.8162450066578,49.3342210386152,44.7403462050599,37.9494007989348,48.335552596538,37.5499334221039,43.3422103861518,26.4980026631158,42.21038615,Midtown,33.4522486695128,23823949.9294434,25020.0969698082
36,Midway/Coldstream,155.7564422,142.560266001663,130.50706566916,110.349127182045,135.182876142976,178.200332502078,101.724854530341,156.172069825436,142.248545303408,178.719867,Midway/Coldstream,154.605708102259,17884471.2862549,22767.8274161904
37,Morrell Park/Violetville,28.55867916,22.7576974564926,32.9094154395359,41.1646586345381,36.590807675145,41.7224453369032,43.1726907630522,56.3364569388666,45.4038375725123,86.23382419,Morrell Park/Violetville,57.3799228701648,67470845.9901123,44412.7451303421
38,Mount Washington/Coldspring,5.030959752,11.609907120743,16.0603715170279,16.2538699690402,13.7383900928793,21.0913312693498,10.8359133126935,14.7058823529412,11.9969040247678,30.37925697,Mount Washington/Coldspring,24.6977547495682,56943058.6497192,38539.7661484899
39,North Baltimore/Guilford/Homeland,14.77324782,14.7159871736143,20.6710948236372,15.9184608337151,14.0861200183234,17.2354557947778,9.84883188273019,10.879523591388,7.0430600091617,10.53595969,North Baltimore/Guilford/Homeland,9.07749914898445,74923987.6937256,42904.2221443544
40,Northwood,34.24863306,38.2142642552424,40.3172504957039,28.0598449798714,32.6263293877306,31.845220212702,22.7723367181398,30.2229165414889,12.978429369705,27.21865048,Northwood,23.4638409137824,52743271.7706299,38889.8945908863
41,Oldtown/Middle East,65.44622426,52.4027459954233,47.6998303562519,43.0096796726874,38.5191098692745,44.3069553936733,41.1136613112464,44.4067458337491,28.2406945414629,61.37112065,Oldtown/Middle East,51.4536916774903,24585968.2341919,23866.3281788863
42,Orangeville/East Highlandtown,109.0789618,110.393166137334,100.646150476399,76.7714379586026,106.341036031103,112.145438615705,138.100974701566,146.095717884131,105.90296791151,151.1335013,Greektown/Bayview,112.328290732047,89894372.2113037,47825.8629266244
